"","gene","Parameter1","Parameter2","rho","CI","CI_low","CI_high","S","p","Method","n_Obs"
"81","Klf3","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"82","Klf4","logFC","time_index",0.571428571428571,0.95,-0.344607635816334,0.930027647796908,24,0.180201988911528,"Spearman",7
"83","Klf5","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"84","Klf6","logFC","time_index",0.464285714285714,0.95,-0.466973104905915,0.907242773610491,30,0.293934107600252,"Spearman",7
"85","Klf9","logFC","time_index",0.321428571428571,0.95,-0.588725816013676,0.872197896099535,38,0.482072038299678,"Spearman",7
"86","Kmt2a","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
"87","Lef1","logFC","time_index",0.178571428571429,0.95,-0.679640990526113,0.830411283250591,46,0.701657942516273,"Spearman",7
"88","Lhx2","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"89","Lyl1","logFC","time_index",0.392857142857143,0.95,-0.532608104928437,0.890456794776322,34,0.383316870426973,"Spearman",7
"90","Maf","logFC","time_index",-0.142857142857143,0.95,-0.818677639503581,0.698882230935236,64,0.759945300218093,"Spearman",7
"91","Mafb","logFC","time_index",0.678571428571428,0.95,-0.180492475752907,0.95035308505037,18,0.0937502539598315,"Spearman",7
"92","Maff","logFC","time_index",0.0714285714285714,0.95,-0.734026689960797,0.79338578827168,52,0.879048193148154,"Spearman",7
"93","Mafg","logFC","time_index",0.607142857142857,0.95,-0.295488838713476,0.937055665492017,22,0.148231161481161,"Spearman",7
"94","Mafk","logFC","time_index",0.428571428571428,0.95,-0.501125431711299,0.899022530679961,32,0.337368311085824,"Spearman",7
"95","Max","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"96","Maz","logFC","time_index",0.678571428571428,0.95,-0.180492475752907,0.95035308505037,18,0.0937502539598315,"Spearman",7
"97","Mbd2","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
"98","Mef2a","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"99","Mef2b","logFC","time_index",0,0.95,-0.765328711338255,0.765328711338255,56,1,"Spearman",7
"100","Mef2c","logFC","time_index",0.107142857142857,0.95,-0.716977667906528,0.806351171716549,50,0.819150855569991,"Spearman",7
"101","Meis1","logFC","time_index",-0.75,0.95,-0.962726841567533,0.0359825976636463,98,0.052181400457058,"Spearman",7
"102","Meis2","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"103","Mitf","logFC","time_index",0.107142857142857,0.95,-0.716977667906528,0.806351171716549,50,0.819150855569991,"Spearman",7
"104","Mybl2","logFC","time_index",0.857142857142857,0.95,0.266898512878129,0.979755706515192,8.00000000000002,0.0136973266153257,"Spearman",7
"105","Myc","logFC","time_index",0.75,0.95,-0.0359825976636463,0.962726841567533,14,0.052181400457058,"Spearman",7
"106","Mycn","logFC","time_index",0.714285714285714,0.95,-0.112594026467208,0.956649299954701,16,0.0713435614675377,"Spearman",7
"107","Myod1","logFC","time_index",0.142857142857143,0.95,-0.698882230935236,0.818677639503581,48,0.759945300218093,"Spearman",7
"108","Ncoa1","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
"109","Ncoa2","logFC","time_index",-0.25,0.95,-0.852263315160157,0.637256358189593,70,0.588724448089683,"Spearman",7
"110","Ncoa3","logFC","time_index",-0.357142857142857,0.95,-0.881523316981174,0.561722376541147,76,0.431611352038328,"Spearman",7
"111","Necab3","logFC","time_index",0.785714285714285,0.95,0.0511339180930237,0.96859690752143,12,0.0362384626798273,"Spearman",7
"112","Neurod1","logFC","time_index",0.178571428571429,0.95,-0.679640990526113,0.830411283250591,46,0.701657942516273,"Spearman",7
"113","Nfatc1","logFC","time_index",0.5,0.95,-0.429796519567316,0.9151380131774,28,0.253169995100323,"Spearman",7
"114","Nfatc2","logFC","time_index",-0.678571428571428,0.95,-0.95035308505037,0.180492475752907,94,0.0937502539598315,"Spearman",7
"115","Nfe2","logFC","time_index",-0.357142857142857,0.95,-0.881523316981174,0.561722376541147,76,0.431611352038328,"Spearman",7
"116","Nfe2l1","logFC","time_index",0.5,0.95,-0.429796519567316,0.9151380131774,28,0.253169995100323,"Spearman",7
"117","Nfe2l2","logFC","time_index",0.607142857142857,0.95,-0.295488838713476,0.937055665492017,22,0.148231161481161,"Spearman",7
"118","Nfic","logFC","time_index",0,0.95,-0.765328711338255,0.765328711338255,56,1,"Spearman",7
"119","Nfkb1","logFC","time_index",-0.0714285714285714,0.95,-0.79338578827168,0.734026689960797,60,0.879048193148154,"Spearman",7
"120","Nfya","logFC","time_index",0.0714285714285714,0.95,-0.734026689960797,0.79338578827168,52,0.879048193148154,"Spearman",7
"121","Nfyb","logFC","time_index",-0.25,0.95,-0.852263315160157,0.637256358189593,70,0.588724448089683,"Spearman",7
"122","Nr1h2","logFC","time_index",-0.285714285714286,0.95,-0.862454159724001,0.61383995094539,72,0.534509228601041,"Spearman",7
"123","Nr1h3","logFC","time_index",-0.964285714285714,0.95,-0.995177710618653,-0.759364956166769,110,0.000454149169194186,"Spearman",7
"124","Nr2c2","logFC","time_index",0.464285714285714,0.95,-0.466973104905915,0.907242773610491,30,0.293934107600252,"Spearman",7
"125","Nr2f1","logFC","time_index",-0.0714285714285714,0.95,-0.79338578827168,0.734026689960797,60,0.879048193148154,"Spearman",7
